source_icd_id	source_icd_name	destination_icd_id	destination_icd_name	relationship_type	relationship_id
T91.8	颈部和躯干其他特指损伤的后遗症	T14.9	未特指的损伤	After	3239212022
G91.1	梗阻性脑积水	T14.9	未特指的损伤	After	7171248021
G91.0	交通性脑积水	T14.9	未特指的损伤	After	7171247027
G91.3	未特指的创伤后脑积水	T14.9	未特指的损伤	After	7171210027
P11.2	产伤引起的未特指的脑损害	G93.1	缺氧性脑损害,不可归类在他处者	After	7170209028
T90.9	头部未特指损伤的后遗症	S09.9	头部未特指的损伤	After	2582109021
E23.0	垂体功能减退症	P15.9	未特指的产伤	After	2580020028
I05.8	其他二尖瓣疾病	A49.1	未特指部位的链球菌感染	After	2578288021
L90.5	皮肤瘢痕情况和纤维化	L70.9	未特指的痤疮	After	2577014021
T94.1	损伤后遗症,未按身体部位特指者	T14.4	身体未特指部位的神经损伤	After	2576518021
G58.9	未特指的单神经病	T14.9	未特指的损伤	After	4735173022
G81.9	未特指的偏瘫	I63.9	未特指的脑梗死	After	7157873024
O03.6	"自然流产,完全性或未特指,并发延迟或过度出血	"	O03.9	"自然流产,完全性或未特指,无并发症	"	After	7138098029
O03.3	"自然流产,不完全性,伴有其他和未特指的并发症	"	O03.9	"自然流产,完全性或未特指,无并发症	"	After	7138053024
I09.9	未特指的风湿性心脏病	A49.1	未特指部位的链球菌感染	After	2576118026
A39.8	其他脑膜炎球菌感染	A39.9	未特指的脑膜炎球菌感染	After	2576045027
A30.8	其他形式的麻风	A30.9	未特指的麻风	After	2576034025
F05.8	其他谵妄	R56.8	其他和未特指的惊厥	After	3043170020
G41.9	未特指的癫痫持续状态	R56.8	其他和未特指的惊厥	After	2571587020
F20.4	精神分裂症后抑郁	F20.9	未特指的精神分裂症	After	2572665020
J98.8	其他特指的呼吸性疾患	J39.8	其他特指的上呼吸道疾病	After	2573608027
I23.2	室间隔缺损作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2573663022
I23.5	乳头肌断裂作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2573670022
I42.8	其他的心肌病	I51.4	未特指的心肌炎	After	2573675028
K03.3	牙病理性吸收	T14.9	未特指的损伤	After	7173890029
I23.8	急性心肌梗死后的其他近期并发症	I21.9	未特指的急性心肌梗死	After	2573676027
I23.0	心包积血作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2573678026
R40.0	嗜眠	R56.8	其他和未特指的惊厥	After	3033152020
G44.8	其他特指的头痛综合征	R56.8	其他和未特指的惊厥	After	3035922027
N35.8	"其他的尿道狭窄	"	N34.2	"其他的尿道炎	"	After	2574819023
E23.0	垂体功能减退症	S09.9	头部未特指的损伤	After	2575187023
L03.1	肢体其他部位的蜂窝织炎	T14.1	身体未特指部位的开放性伤口	After	2575289025
O71.1	"产程中子宫破裂	"	O66.9	"未特指的梗阻性分娩	"	After	6970711028
R40.2	未特指的昏迷	G93.1	缺氧性脑损害,不可归类在他处者	After	2571583024
T92.9	上肢未特指损伤的后遗症	T11.9	上肢未特指的损伤,水平未特指	After	2582111028
I69.4	脑卒中后遗症,未特指为出血或梗死	I67.9	未特指的脑血管病	After	4730422024
G21.3	脑炎后帕金森综合征	G04.9	未特指的脑炎、脊髓炎和脑脊髓炎	After	2592103020
I09.8	其他特指的风湿性心脏病	A49.1	未特指部位的链球菌感染	After	2591829024
T91.5	腹内和盆腔器官损伤后遗症	S39.9	腹部、下背和骨盆未特指的损伤	After	2591828027
I01.1	急性风湿性心内膜炎	A49.1	未特指部位的链球菌感染	After	2591735026
O08.7	"流产、异位妊娠和葡萄胎妊娠后的其他静脉并发症	"	O01.9	"未特指的葡萄胎	"	After	7260008027
O08.7	"流产、异位妊娠和葡萄胎妊娠后的其他静脉并发症	"	O00.9	"未特指的异位妊娠	"	After	7260002026
O08.7	"流产、异位妊娠和葡萄胎妊娠后的其他静脉并发症	"	O03.9	"自然流产,完全性或未特指,无并发症	"	After	7259996028
O08.6	"流产、异位妊娠和葡萄胎妊娠后的盆腔器官和组织损伤	"	O01.9	"未特指的葡萄胎	"	After	7259985020
O08.6	"流产、异位妊娠和葡萄胎妊娠后的盆腔器官和组织损伤	"	O00.9	"未特指的异位妊娠	"	After	7259972022
O08.4	"流产、异位妊娠和葡萄胎妊娠后的肾衰竭	"	O01.9	"未特指的葡萄胎	"	After	7259964020
N28.9	"肾和输尿管未特指的疾患	"	O15.9	"时间阶段未特指的子痫	"	After	7240248021
N28.9	"肾和输尿管未特指的疾患	"	O14.9	"未特指的先兆子痫	"	After	7240245024
I06.2	风湿性主动脉瓣狭窄伴有关闭不全	A49.1	未特指部位的链球菌感染	After	2591659027
O08.0	"流产、异位妊娠和葡萄胎妊娠后生殖道和盆腔感染	"	O06.9	流产,完全性或未特指,无并发症	After	4722794026
I07.8	其他三尖瓣疾病	A49.1	未特指部位的链球菌感染	After	2591501027
I08.0	二尖瓣和主动脉瓣的疾患	A49.1	未特指部位的链球菌感染	After	2591418026
I09.1	瓣膜未特指的风湿性心内膜疾病	A49.1	未特指部位的链球菌感染	After	2591350021
I20.9	未特指的心绞痛	I21.9	未特指的急性心肌梗死	After	2586383028
H53.9	未特指的视觉障碍	I67.9	未特指的脑血管病	After	4730203029
I06.9	未特指的风湿性主动脉瓣疾病	A49.1	未特指部位的链球菌感染	After	2586638021
B94.8	其他特指传染病和寄生虫病的后遗症	A49.1	未特指部位的链球菌感染	After	2589051027
B95.5	未特指的链球菌作为分类于其他章疾病的原因	A49.1	未特指部位的链球菌感染	After	2589053029
I02.9	风湿性舞蹈症不伴有心脏受累	A49.1	未特指部位的链球菌感染	After	2589054024
I69.3	脑梗死后遗症	I63.9	未特指的脑梗死	After	4730480025
L98.8	皮肤和皮下组织其他特指的疾患	I80.9	未特指部位的静脉炎和血栓性静脉炎	After	2589121024
O08.6	"流产、异位妊娠和葡萄胎妊娠后的盆腔器官和组织损伤	"	O06.9	流产,完全性或未特指,无并发症	After	4722923021
G93.1	缺氧性脑损害,不可归类在他处者	R09.0	窒息	After	2590348021
P91.6	新生儿缺氧缺血性脑病	G93.1	缺氧性脑损害,不可归类在他处者	After	2590349029
B27.9	未特指的传染性单核细胞增多症	B27.0	γ疱疹病毒性单核细胞增多症	After	2590361021
Z86.1	传染病和寄生虫病个人史	A49.9	未特指的细菌性感染	After	2590656027
I01.0	急性风湿性心包炎	A49.1	未特指部位的链球菌感染	After	2591281025
I83.1	下肢静脉曲张伴有炎症	I80.9	未特指部位的静脉炎和血栓性静脉炎	After	2589145023
O08.1	"流产、异位妊娠和葡萄胎妊娠后的延迟或过度出血	"	O06.9	流产,完全性或未特指,无并发症	After	4722789026
G58.0	肋间神经病	B02.9	带状疱疹不伴有并发症	After	2571528029
J11.8	流行性感冒伴有其他表现,病毒未标明	J11.1	流行性感冒伴有其他呼吸道表现,病毒未标明	After	2571418024
B02.3	带状疱疹眼病	B01.9	水痘不伴有并发症	After	2947366026
N35.0	"创伤后尿道狭窄	"	T14.9	未特指的损伤	After	5971447025
B94.8	其他特指传染病和寄生虫病的后遗症	B38.9	未特指的球孢子菌病	After	5974970028
B94.0	沙眼的后遗症	A71.9	未特指的沙眼	After	6791675022
B94.8	其他特指传染病和寄生虫病的后遗症	A74.9	未特指的衣原体感染	After	6791672020
B94.8	其他特指传染病和寄生虫病的后遗症	A36.9	未特指的白喉	After	6791670028
H21.5	虹膜和睫状体的其他粘连和破裂	T14.9	未特指的损伤	After	2798304029
E83.5	钙代谢紊乱	T14.9	未特指的损伤	After	2797871025
L30.9	未特指的皮炎	T14.9	未特指的损伤	After	2797839021
H21.5	虹膜和睫状体的其他粘连和破裂	S05.9	眼和眶未特指的损伤	After	2735891020
B94.8	其他特指传染病和寄生虫病的后遗症	A31.9	未特指的分枝杆菌感染	After	6780470029
L90.5	皮肤瘢痕情况和纤维化	T14.9	未特指的损伤	After	2792587026
T79.3	创伤后伤口感染,不可归类在他处者	T14.9	未特指的损伤	After	2792533021
M18.2	双侧第一腕掌关节的创伤后关节病	T14.9	未特指的损伤	After	2791890026
K06.2	与创伤有关的牙龈和无牙牙槽嵴损害	T14.9	未特指的损伤	After	2791818023
K56.3	胆石性肠梗阻	K80.2	胆囊结石不伴有胆囊炎	After	6771980020
T79.8	创伤的其他早期并发症	T14.9	未特指的损伤	After	2788986020
O05.5	"其他流产,完全性或未特指,并发生殖道和盆腔感染	"	O05.9	"其他流产,完全性或未特指,无并发症	"	After	6420169022
I87.0	静脉炎后综合征	I80.2	下肢其他深部脉管的静脉炎和血栓性静脉炎	After	6397353026
G58.0	肋间神经病	T14.9	未特指的损伤	After	6462099024
G24.3	痉挛性斜颈	T14.9	未特指的损伤	After	6462402026
K08.1	意外事故、拔除或局部牙周病引起的牙缺失	T14.9	未特指的损伤	After	2778470029
H60.5	急性外耳炎,非感染性	T14.9	未特指的损伤	After	2778755029
G50.8	三叉神经的其他疾患	B01.9	水痘不伴有并发症	After	2947548024
H60.8	其他外耳炎	T14.9	未特指的损伤	After	2778758027
T79.6	创伤性肌肉缺血	T14.9	未特指的损伤	After	2786374020
N31.9	"膀胱未特指的神经肌肉功能不良	"	A80.9	未特指的急性脊髓灰质炎	After	6687257022
T90.3	脑神经损伤后遗症	S09.9	头部未特指的损伤	After	2786959025
I31.9	心包未特指的疾病	T14.9	未特指的损伤	After	2787114027
H05.4	眼球内陷	T14.9	未特指的损伤	After	2787654026
C91.5	成人T-细胞白血病	B33.3	反转录病毒感染,不可归类在他处者	After	6760919020
H20.9	未特指的虹膜睫状体炎	T14.9	未特指的损伤	After	2784072029
F07.2	脑震荡后综合征	S09.9	头部未特指的损伤	After	2571446021
B00.2	疱疹病毒性龈口炎和咽扁桃体炎	B01.9	水痘不伴有并发症	After	2947580021
B02.8	带状疱疹伴有其他并发症	B01.9	水痘不伴有并发症	After	2947641024
R47.0	言语困难和失语	S09.9	头部未特指的损伤	After	2571316022
K08.8	其他特指的牙及支持结构疾患	K00.9	未特指的牙发育疾患	After	2570753021
C83.3	大细胞（弥漫性）非霍奇金淋巴瘤	B27.0	γ疱疹病毒性单核细胞增多症	After	6917607026
T93.6	下肢挤压伤和创伤性切断后遗症	T13.9	下肢未特指的损伤,水平未特指	After	2569521021
T93.5	下肢肌肉和肌腱损伤后遗症	T13.9	下肢未特指的损伤,水平未特指	After	2569520022
T93.0	下肢开放性伤口后遗症	T13.1	下肢开放性伤口,水平未特指	After	2569518024
T93.9	下肢未特指损伤的后遗症	T13.9	下肢未特指的损伤,水平未特指	After	2569517025
T92.6	上肢挤压伤和创伤性切断后遗症	T11.9	上肢未特指的损伤,水平未特指	After	2569516023
T92.5	上肢肌肉和肌腱损伤后遗症	T11.9	上肢未特指的损伤,水平未特指	After	2569515022
T92.0	上肢开放性伤口后遗症	T11.1	上肢开放性伤口,水平未特指	After	2569512020
T90.0	头部浅表损伤后遗症	S00.9	头部部位未特指的浅表损伤	After	2569509022
N82.0	"膀胱阴道瘘	"	O80.9	"未特指的单胎顺产	"	After	6898900024
I69.0	蛛网膜下出血后遗症	I60.9	未特指的蛛网膜下出血	After	2568662029
I69.8	其他和未特指的脑血管病后遗症	I67.9	未特指的脑血管病	After	2568661020
I09.0	风湿性心肌炎	A49.1	未特指部位的链球菌感染	After	2568653026
G40.5	特指的癫痫综合征	R50.9	未特指的发热	After	6892494024
M54.2	颈痛	S13.4	颈椎扭伤和劳损	After	6890315026
B30.9	未特指的病毒性结膜炎	B01.9	水痘不伴有并发症	After	2950077022
