icd_id	icd_name	another_sctid	another_sct_term_cn	another_sct_term	relationship_type	icd_where
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
S04.9	未特指的脑神经损伤	36539009	颅神经损伤及其后遗症(疾病)	Disorder due to and following injury of cranial nerve (disorder)	After	destination
T65.9	未特指物质的毒性效应	363304009	中毒的后遗症	Late effect of poisoning	After	destination
S44.9	在肩和上臂水平的未特指神经的损伤	784382001	肩部神经损伤的晚期效应	Late effect of injury of nerve of shoulder	After	destination
T11.3	上肢未特指神经的损伤,水平未特指	784383006	上肢神经损伤及其后遗症	Disorder due to and following injury of nerve of upper limb	After	destination
B94.8	其他特指传染病和寄生虫病的后遗症	38907003	水痘	Chickenpox	After	source
T85.7	其他内部假体装置、植入物和移植物引起的感染和炎症性反应	782902008	植入程序(程序)	Implantation procedure (procedure)	After	source
T84.6	内部固定装置[任何部位]引起的感染和炎症性反应	118470002	应用内固定系统进行内固定	Internal fixation using internal fixator system	After	source
T65.9	未特指物质的毒性效应	218249005	意外中毒后遗症	Sequela of accidental poisoning	After	destination
A09.0	其他和未特指传染性病因的胃肠炎和结肠炎	239785008	痢疾后反应性关节炎	Post-dysenteric reactive arthritis	After	destination
T23.0	腕和手未特指程度的烧伤	210937001	手腕和手部烧伤后遗症	Disorder due to and following burn of wrist and hand	After	destination
T23.0	腕和手未特指程度的烧伤	210937001	手腕和手部烧伤后遗症	Disorder due to and following burn of wrist and hand	After	destination
T22.0	肩和上肢未特指程度的烧伤,除外腕和手	134424008	上肢烧伤引起或继发的失调(失调)	Disorder due to and following burn of upper limb (disorder)	After	destination
T23.0	腕和手未特指程度的烧伤	769230009	手烧伤引起或继发的手部紊乱(紊乱)	Disorder due to and following burn of hand (disorder)	After	destination
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
T85.8	内部假体装置、植入物和移植物的其他并发症,不可归类在他处者	782902008	植入程序(程序)	Implantation procedure (procedure)	After	source
G50.8	三叉神经的其他疾患	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
T84.6	内部固定装置[任何部位]引起的感染和炎症性反应	118470002	应用内固定系统进行内固定	Internal fixation using internal fixator system	After	source
T14.9	未特指的损伤	785903005	损伤后肌肉挛缩	Contracture of muscle following injury	After	destination
T85.7	其他内部假体装置、植入物和移植物引起的感染和炎症性反应	782902008	植入程序(程序)	Implantation procedure (procedure)	After	source
T13.3	下肢未特指神经的损伤,水平未特指	784338005	下肢神经损伤所致或继发的功能障碍(功能障碍)	Disorder due to and following injury of nerve of lower limb (disorder)	After	destination
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
T30.0	身体未特指部位的烧伤,程度未特指	21835004	烧伤后遗症	Sequela of burn	After	destination
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
T11.9	上肢未特指的损伤,水平未特指	285236005	上肢损伤(障碍)所致或继发的功能障碍	Disorder due to and following injury of upper limb (disorder)	After	destination
T14.9	未特指的损伤	785902000	损伤后关节挛缩(障碍)	Contracture of joint following injury (disorder)	After	destination
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
T50.9	其他和未特指的药物、药剂和生物制品中毒	784359003	药物中毒后遗症	Sequela of drug poisoning	After	destination
T11.9	上肢未特指的损伤,水平未特指	210960009	上肢肌肉、肌腱损伤后遗症(疾病)	Disorder due to and following injury of muscle and tendon of upper limb (disorder)	After	destination
T13.9	下肢未特指的损伤,水平未特指	210965004	下肢肌腱损伤后遗症	Sequela of injury of muscle and tendon of lower limb	After	destination
B02.9	带状疱疹不伴有并发症	38907003	水痘	Chickenpox	After	source
T14.4	身体未特指部位的神经损伤	111729006	神经损伤(疾病)引起的或随后引起的疾病	Disorder due to and following injury to nerve (disorder)	After	destination
T85.7	其他内部假体装置、植入物和移植物引起的感染和炎症性反应	782902008	植入程序(程序)	Implantation procedure (procedure)	After	source
S05.8	眼和眶其他损伤	787519008	闭合性眼钝器伤(障碍性)	Closed blunt force injury to eye (disorder)	After	source
B00.2	疱疹病毒性龈口炎和咽扁桃体炎	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
T30.0	身体未特指部位的烧伤,程度未特指	432513009	烧伤后遗症引起的畸形	Deformity as a sequela of burn	After	destination
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
E23.0	垂体功能减退症	23719005	骨髓输注	Transfusion of bone marrow	After	source
Z94.5	皮肤移植状态	19835001	同种异体皮肤移植(手术)	Allograft of skin to skin (procedure)	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
D47.9	淋巴、造血和有关组织未特指的动态未定或动态未知的肿瘤	23719005	骨髓输注	Transfusion of bone marrow	After	source
B02.9	带状疱疹不伴有并发症	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B02.8	带状疱疹伴有其他并发症	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
Z94.8	其他器官和组织的移植状态	23719005	骨髓输注	Transfusion of bone marrow	After	source
B02.8	带状疱疹伴有其他并发症	38907003	水痘	Chickenpox	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
B30.9	未特指的病毒性结膜炎	38907003	水痘	Chickenpox	After	source
B02.9	带状疱疹不伴有并发症	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B30.9	未特指的病毒性结膜炎	38907003	水痘	Chickenpox	After	source
T23.0	腕和手未特指程度的烧伤	769228007	腕部烧伤引起或继发的疾病	Disorder due to and following burn of wrist (disorder)	After	destination
T86.0	骨髓移植排斥	23719005	骨髓输注	Transfusion of bone marrow	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
B02.8	带状疱疹伴有其他并发症	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
D75.9	血液和造血器官未特指的疾病	23719005	骨髓输注	Transfusion of bone marrow	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
S01.9	头部部位未特指的开放性伤口	209956005	头部开放性创伤后硬膜下出血(紊乱)	Subdural hemorrhage following open wound of head (disorder)	After	destination
B02.8	带状疱疹伴有其他并发症	38907003	水痘	Chickenpox	After	source
B02.3	带状疱疹眼病	38907003	水痘	Chickenpox	After	source
H26.1	外伤性白内障	784306000	晶状体囊破裂	Rupture of lens capsule	After	source
T14.1	身体未特指部位的开放性伤口	286613000	伤后瘢痕(紊乱)	Scar following wound (disorder)	After	destination
Y88.0	"在治疗中使用药物、药剂和生物制品引起有害效应的后遗症	"	275385007	生物性物质中毒	Poisoning caused by biological substance	After	source
H43.8	玻璃体的其他疾患	16615741000119105	玻璃体后脱离病史(情况)	History of posterior vitreous detachment (situation)	Associated finding	destination
S05.9	眼和眶未特指的损伤	16535651000119101	眼部损伤史(情况)	History of injury of eye region (situation)	Associated finding	destination
B02.3	带状疱疹眼病	16540531000119103	眼带状疱疹病史	History of ocular zoster	Associated finding	destination
I63.4	大脑动脉栓塞引起的脑梗死	16896851000119101	栓塞性中风的病史(情况)	History of embolic cerebrovascular accident (situation)	Associated finding	destination
K62.5	肛门和直肠出血	16885661000119108	直肠出血史	History of rectal haemorrhage	Associated finding	destination
H53.0	失用性弱视	16697921000119109	怀疑双眼弱视(情况)	Suspected amblyopia of bilateral eyes (situation)	Associated finding	destination
M30.3	粘膜皮肤淋巴结综合征[川崎病]	16360861000119103	急性发热性川崎氏病病史(情况)	History of acute febrile mucocutaneous lymph node syndrome (situation)	Associated finding	destination
H50.9	未特指的斜视	16535691000119106	斜视史(情况)	History of strabismus (situation)	Associated finding	destination
D06.9	宫颈未特指的原位癌	10738811000119103	子宫颈原位癌病史(情况)	History of carcinoma in situ of uterine cervix (situation)	Associated finding	destination
D69.6	未特指的血小板减少	49341000119108	低血小板计数的历史	History of thrombocytopenia	Associated finding	destination
G93.1	缺氧性脑损害,不可归类在他处者	16542721000119108	缺氧性脑损伤病史(情况)	History of anoxic brain injury (situation)	Associated finding	destination
Z91.8	其他特指危险因素个人史,不可归类在他处者	787209003	家庭虐待成年人(事件)	Domestic physical abuse of adult (event)	Associated finding	source
I67.1	脑动脉瘤,未破裂	16845421000119109	脑内的动脉瘤的历史	History of cerebral aneurysm	Associated finding	destination
I62.9	未特指的颅内出血(非创伤性)	16864911000119103	颅内出血的历史	History of intracranial hemorrhage	Associated finding	destination
Z87.3	肌肉骨骼系统和结缔组织疾病个人史	787206005	他汀类药物引起的横纹肌溶解症	Rhabdomyolysis due to statin (disorder)	Associated finding	source
Q79.3	腹裂	16279601000119105	腹裂史(情况)	History of gastroschisis (situation)	Associated finding	destination
Z86.0	其他肿瘤个人史	15641141000119100	十二指肠绒毛状腺瘤	Villous adenoma of duodenum	Associated finding	source
I74.9	未特指动脉的栓塞和血栓形成	16833281000119106	动脉血栓形成病史	History of arterial thrombosis	Associated finding	destination
H35.3	黄斑和后极变性	16535401000119102	老年黄斑变性的历史	History of macular degeneration	Associated finding	destination
Z84.8	其他特指情况家族史	267340006	产时母体发热	Maternal pyrexia during labour	Associated finding	source
F05.9	未特指的谵妄	16535771000119101	精神错乱病史	History of delirium	Associated finding	destination
